taxon_name_original,CHECK,species,famille,genre,espece,taxon_name,phytochemical_diversity_full,div_group,Aternative,comm,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Sium,,Sium,Apiaceae,,,Sium,,,,unknown,BestMatch,9.41215,Exact,0,Sium,Sium L.,Sium,644BR,Sium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Oenantheae|Sium,
Coriandrum,,Coriandrum,Apiaceae,,,Coriandrum,,,,unknown,BestMatch,9.41215,Exact,0,Coriandrum,Coriandrum L.,Coriandrum,62MNL,Coriandrum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Coriandreae|Coriandrum,
Pulmonaria,,Pulmonaria,Boraginaceae,,,Pulmonaria,,,,unknown,BestMatch,9.41215,Exact,0,Pulmonaria,Pulmonaria L.,Pulmonaria,6436V,Pulmonaria L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Boraginales|Boraginaceae|Boraginoideae|Boragineae|Boragininae|Pulmonaria,
Glechoma,,Glechoma,Lamiaceae,,,Glechoma,,,,unknown,BestMatch,9.41215,Exact,0,Glechoma,Glechoma L.,Glechoma,8VXW5,Glechoma L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Nepetoideae|Mentheae|Nepetinae|Glechoma,
Anethum,,Anethum,Apiaceae,,,Anethum,,,,unknown,BestMatch,9.41215,Exact,0,Anethum,Anethum L.,Anethum,VZX,Anethum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Apieae|Anethum,
Lepidium,,Lepidium,Brassicaceae,,,Lepidium,,,,unknown,BestMatch,9.41215,Exact,0,Lepidium,Lepidium L.,Lepidium,C7JKY,Lepidium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Brassicaceae|Brassicoideae|Lepidieae|Lepidium,
Melissa,,Melissa,Lamiaceae,,,Melissa,,,,unknown,BestMatch,9.41215,Exact,0,Melissa,Melissa L.,Melissa,8VZ92,Melissa L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Nepetoideae|Mentheae|Salviinae|Melissa,
Isatis,,Isatis,Brassicaceae,,,Isatis,,,,unknown,BestMatch,9.41215,Exact,0,Isatis,Isatis L.,Isatis,C7P32,Isatis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Brassicaceae|Brassicoideae|Isatideae|Isatis,
Cnicus,,Cnicus,Compositae,,,Cnicus,,,,unknown,BestMatch,9.41180,Exact,0,Cnicus,Cnicus L.,Cnicus,B3KXH|3K5Z|B3KXH,Centaurea L.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Carduoideae|Cardueae|Centaureinae|Centaurea,
Dracocephalum,,Dracocephalum,Lamiaceae,,,Dracocephalum,,,,unknown,BestMatch,9.41215,Exact,0,Dracocephalum,Dracocephalum L.,Dracocephalum,8VX4H,Dracocephalum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Nepetoideae|Mentheae|Nepetinae|Dracocephalum,
Viola,,Viola,Violaceae,,,Viola,,,,unknown,BestMatch,9.41215,Exact,0,Viola,Viola L.,Viola,86VM,Viola L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Violaceae|Violoideae|Viola,
Daphne,,Daphne,Thymelaeaceae,,,Daphne,,,,unknown,BestMatch,9.41215,Exact,0,Daphne,Daphne Tourn. ex L.,Daphne,3ZT2,Daphne Tourn. ex L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Thymelaeaceae|Thymelaeoideae|Daphne,
Phuopsis,,Phuopsis,Rubiaceae,,,Phuopsis,,,,unknown,BestMatch,9.41215,Exact,0,Phuopsis,Phuopsis (Griseb.) Benth. & Hook.fil.,Phuopsis,8W2D2,Phuopsis (Griseb.) Benth. & Hook.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Rubioideae|Rubieae|Galiinae|Phuopsis,
Arenaria,,Arenaria,Caryophyllaceae,,,Arenaria,,,,unknown,BestMatch,9.41215,Exact,0,Arenaria,Arenaria L.,Arenaria,4GD,Arenaria L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Arenarieae|Arenaria,
Nicotiana,,Nicotiana,Solanaceae,,,Nicotiana,,,,unknown,BestMatch,9.41215,Exact,0,Nicotiana,Nicotiana L.,Nicotiana,63Z9,Nicotiana L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Nicotianoideae|Nicotianeae|Nicotiana,
Cannabis,,Cannabis,Cannabaceae,,,Cannabis,,,,unknown,BestMatch,9.41215,Exact,0,Cannabis,Cannabis L.,Cannabis,3GTP,Cannabis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Cannabaceae|Cannabis,
Erigeron,,Erigeron,Compositae,,,Erigeron,,,,unknown,BestMatch,9.41215,Exact,0,Erigeron,Erigeron L.,Erigeron,633LL,Erigeron L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Astereae|Conyzinae|Erigeron,
Liquidambar,,Liquidambar,Altingiaceae,,,Liquidambar,,,,unknown,BestMatch,9.41215,Exact,0,Liquidambar,Liquidambar L.,Liquidambar,5FBY,Liquidambar L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Altingiaceae|Liquidambar,
Dryas,,Dryas,Rosaceae,,,Dryas,,,,unknown,BestMatch,9.41215,Exact,0,Dryas,Dryas L.,Dryas,6339B,Dryas L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Dryadoideae|Dryas,
Pallenis,,Pallenis,Compositae,,,Pallenis,,,,unknown,BestMatch,9.41215,Exact,0,Pallenis,Pallenis (Cass.) Cass.,Pallenis,6CS2,Pallenis (Cass.) Cass.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Inuleae|Inulinae|Pallenis,
Medicago,,Medicago,Fabaceae,,,Medicago,,,,unknown,BestMatch,9.41215,Exact,0,Medicago,Medicago L.,Medicago,9CLB5,Medicago L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Medicago,
Brachypodium,,Brachypodium,Ptychomitriaceae,,,Brachypodium,,,,unknown,BestMatch,9.41215,Exact,0,Brachypodium,Brachypodium P.Beauv.,Brachypodium,8VVQ6,Brachypodium P.Beauv.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Brachypodium,
Acer,,Acer,Sapindaceae,,,Acer,,,,unknown,BestMatch,9.41215,Exact,0,Acer,Acer L.,Acer,MLD,Acer L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer,
Adonis,,Adonis,Ranunculaceae,,,Adonis,,,,unknown,BestMatch,9.41215,Exact,0,Adonis,Adonis L.,Adonis,PCG,Adonis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculoideae|Helleboreae|Adonis,
Patzkea,,Patzkea,Poaceae,,,Patzkea,,,,unknown,BestMatch,9.41215,Exact,0,Patzkea,Patzkea G.H.Loos,Patzkea,8WJLG,Patzkea G.H.Loos,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Patzkea,
Ramonda,,Ramonda,Gesneriaceae,,,Ramonda,,,,unknown,BestMatch,9.41215,Exact,0,Ramonda,Ramonda Rich.,Ramonda,76YN,Ramonda Rich.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Gesneriaceae|Didymocarpoideae|Trichosporeae|Ramondinae|Ramonda,
Lilium,,Lilium,Liliaceae,,,Lilium,,,,unknown,BestMatch,9.41215,Exact,0,Lilium,Lilium Tourn. ex L.,Lilium,8VYWZ,Lilium Tourn. ex L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Liliaceae|Lilium,
Pteridium,,Pteridium,Dennstaedtiaceae,,,Pteridium,,,,unknown,BestMatch,9.41215,Exact,0,Pteridium,Pteridium Gled. ex Scop.,Pteridium,74L6,Pteridium Gled. ex Scop.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Polypodiales|Dennstaedtiaceae|Hypolepidoideae|Pteridium,
Molinia,,Molinia,Poaceae,,,Molinia,,,,unknown,BestMatch,9.41215,Exact,0,Molinia,Molinia Schrank,Molinia,8VZG3,Molinia Schrank,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Molinia,
Dorycnium,,Dorycnium,Fabaceae,,,Dorycnium,,,,unknown,BestMatch,9.41180,Exact,0,Dorycnium,Dorycnium Mill.,Dorycnium,9CKMG|9CL83|9CKMG,Lotus L.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lotus,
Elaeis,,Elaeis,Arecaceae,,,Elaeis,,,,unknown,BestMatch,9.41215,Exact,0,Elaeis,Elaeis Jacq.,Elaeis,8VX8F,Elaeis Jacq.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Arecales|Arecaceae|Elaeis,
Paederota,,Paederota,Plantaginaceae,,,Paederota,,,,unknown,BestMatch,9.41215,Exact,0,Paederota,Paederota L.,Paederota,6C7M,Paederota L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Digitalidoideae|Veroniceae|Paederota,
Bromus,,Bromus,Poaceae,,,Bromus,,,,unknown,BestMatch,9.41215,Exact,0,Bromus,Bromus L.,Bromus,8VVRP,Bromus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Bromus,
Fibigia,,Fibigia,Brassicaceae,,,Fibigia,,,,unknown,BestMatch,9.41215,Exact,0,Fibigia,Fibigia Medik.,Fibigia,C795Z,Fibigia Medik.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Brassicaceae|Brassicoideae|Alysseae|Fibigia,
Delphinium,,Delphinium,Ranunculaceae,,,Delphinium,,,,unknown,BestMatch,9.41215,Exact,0,Delphinium,Delphinium L.,Delphinium,42R2,Delphinium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculoideae|Aconiteae|Delphinium,
Eranthis,,Eranthis,Ranunculaceae,,,Eranthis,,,,unknown,BestMatch,9.41215,Exact,0,Eranthis,Eranthis Salisb.,Eranthis,4DMB,Eranthis Salisb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculoideae|Helleboreae|Eranthis,
Puschkinia,,Puschkinia,Asparagaceae,,,Puschkinia,,,,unknown,BestMatch,9.41215,Exact,0,Puschkinia,Puschkinia Adams,Puschkinia,8W2XD,Puschkinia Adams,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Puschkinia,
Taxus,,Taxus,Taxaceae,,,Taxus,,,,unknown,BestMatch,9.41215,Exact,0,Taxus,Taxus L.,Taxus,C8G3V,Taxus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Taxaceae|Taxus,
Betula,,Betula,Betulaceae,,,Betula,,,,unknown,BestMatch,9.41215,Exact,0,Betula,Betula L.,Betula,8VVK7,Betula L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fagales|Betulaceae|Betuloideae|Betula,
Fagus,,Fagus,Fagaceae,,,Fagus,,,,unknown,BestMatch,9.41215,Exact,0,Fagus,Fagus L.,Fagus,8VXN4,Fagus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Fagoideae|Fagus,
Abelia,,Abelia,Caprifoliaceae,,,Abelia,,,,unknown,BestMatch,9.41215,Exact,0,Abelia,Abelia R.Br.,Abelia,LLW,Abelia R.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Dipsacales|Caprifoliaceae|Linnaeoideae|Abelia,
Taxodium,,Taxodium,Cupressaceae,,,Taxodium,,,,unknown,BestMatch,9.41215,Exact,0,Taxodium,Taxodium Rich.,Taxodium,C8G2P,Taxodium Rich.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Taxodium,
Thuja,,Thuja,Cupressaceae,,,Thuja,,,,unknown,BestMatch,9.41215,Exact,0,Thuja,Thuja L.,Thuja,C8JM2,Thuja L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Thuja,
Aesculus,,Aesculus,Sapindaceae,,,Aesculus,,,,unknown,BestMatch,9.41215,Exact,0,Aesculus,Aesculus L.,Aesculus,PTB,Aesculus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Hippocastaneae|Aesculus,
