scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Bryophyta,higher_taxon,phylum,suffix,54,3,5,Sphagnum cuspidatulum,Eukaryota|Plantae|Bryobiotina|Bryophyta|Sphagnopsida|Sphagnales|Sphagnaceae|Sphagnum|Sphagnum cuspidatulum
Charophyta,higher_taxon,phylum,suffix,39,3,6,Closterium acerosum,Plantae|Viridiplantae|Streptophyta|Charophyta|Charophyta|Conjugatophyceae|Desmidiales|Closteriaceae|Closterium|Closterium acerosum
Chlorophyceae,higher_taxon,tribe,suffix,19,3,7,Pediastrum duplex,Plantae|Viridiplantae|Chlorophyta|Chlorophyta|Chlorophytina|Chlorophyceae|Sphaeropleales|Hydrodictyaceae|Pediastrum|Pediastrum duplex
Chordata,higher_taxon,genus,path_depth,1011,3,4,Macaca mulatta,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Macaca|Macaca mulatta
Coelastrum,higher_taxon,higher_taxon,fallback,1,3,3,Coelastrum astroideum,Scenedesmaceae|Coelastrum|Coelastrum astroideum
Coriariaceae,higher_taxon,family,suffix,1,3,3,Coriaria nepalensis,Cucurbitales|Coriariaceae|Coriaria|Coriaria nepalensis
Dikarya,higher_taxon,higher_taxon,fallback,10,3,3,Physconia detersa,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Teloschistales|Physciaceae|Physconia|Physconia detersa
Ericaceae,higher_taxon,family,suffix,52,3,8,Rhododendron arboreum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Ericoideae|Rhodoreae|Rhododendron|Rhododendron arboreum
Euglenophycota,higher_taxon,higher_taxon,fallback,4,3,3,Trachelomonas hispida,Protozoa|Euglenophycota|Euglenophyceae|Euglenales|Euglenaceae|Trachelomonas|Trachelomonas hispida
Euglenozoa,higher_taxon,higher_taxon,fallback,1,3,3,Phacus circulatus,Protozoa|Euglenozoa|Euglenida|Euglenales|Phacaceae|Phacus|Phacus circulatus
Harosa,higher_taxon,higher_taxon,fallback,12,3,3,Aulacoseira granulata,Chromista|Harosa|Halvaria|Heterokonta|Ochrophyta|Bacillariophyceae|Coscinodiscophycidae|Aulacoseirales|Aulacoseiraceae|Aulacoseira|Aulacoseira granulata
Insecta,higher_taxon,genus,path_depth,3638,3,8,Coccinella septempunctata,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea|Coccinellidae|Coccinellinae|Coccinellini|Coccinella|Coccinella septempunctata
Magnoliaceae,higher_taxon,family,suffix,13,3,8,Magnolia campbellii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Magnoliales|Magnoliaceae|Magnolioideae|Magnolia|Magnolia campbellii
Negibacteria,higher_taxon,higher_taxon,fallback,1,3,3,Xanthomonas campestris,Bacteria|Negibacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Xanthomonas|Xanthomonas campestris
Ochrophyta,higher_taxon,phylum,suffix,15,3,6,Ulnaria ulna,Chromista|Ochrophyta|Bacillariophyceae|Fragilariophycidae|Licmophorales|Ulnariaceae|Ulnaria|Ulnaria ulna
Primulaceae,higher_taxon,family,suffix,92,3,8,Primula denticulata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Primuloideae|Primula|Primula denticulata
Theaceae,higher_taxon,family,suffix,4,3,8,Schima wallichii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Theaceae|Gordonieae|Schima|Schima wallichii
Tracheophyta,higher_taxon,phylum,suffix,3693,3,6,Rhododendron arboreum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Ericoideae|Rhodoreae|Rhododendron|Rhododendron arboreum
Viridiplantae,higher_taxon,higher_taxon,fallback,50,3,3,Opuntia monacantha,Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Caryophyllanae|Caryophyllales|Cactaceae|Opuntia|Opuntia monacantha
Agaricomycetes,higher_taxon,class,suffix,335,4,5,Trametes versicolor,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Polyporales|Polyporaceae|Trametes|Trametes versicolor
Agaricomycotina,higher_taxon,genus,path_depth,10,4,4,Leucocoprinus atrodiscus,Fungi|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Agaricineae|Agaricaceae|Leucocoprineae|Leucocoprinus|Melanotrichae|Leucocoprinus atrodiscus
Angiospermae,higher_taxon,genus,path_depth,13,4,4,Strobilanthes pentastemonoides,Plantae|Tracheophyta|Angiospermae|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Ruellieae|Strobilanthinae|Strobilanthes|Strobilanthes pentastemonoides
Arthoniomycetes,higher_taxon,class,suffix,1,4,4,Cryptothecia striata,Fungi|Ascomycota|Arthoniomycetes|Arthoniales|Arthoniaceae|Cryptothecia striata
Aves,higher_taxon,genus,path_depth,711,4,9,Pycnonotus cafer,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Aves|Passeriformes|Pycnonotidae|Pycnonotus|Pycnonotus cafer
Bacillariophyceae,higher_taxon,tribe,suffix,16,4,7,Ulnaria ulna,Chromista|Ochrophyta|Bacillariophyceae|Fragilariophycidae|Licmophorales|Ulnariaceae|Ulnaria|Ulnaria ulna
Bryobiotina,higher_taxon,genus,path_depth,70,4,4,Sphagnum cuspidatulum,Eukaryota|Plantae|Bryobiotina|Bryophyta|Sphagnopsida|Sphagnales|Sphagnaceae|Sphagnum|Sphagnum cuspidatulum
Bryopsida,higher_taxon,class,suffix,43,4,6,Grimmia laevigata,Eukaryota|Plantae|Bryobiotina|Bryophyta|Bryopsida|Dicranidae|Grimmiales|Grimmiaceae|Grimmia|Grimmia laevigata
Camellia,higher_taxon,genus,path_depth,3,4,10,Camellia sinensis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Theaceae|Theeae|Camellia|Camellia sinensis
Charophyceae,higher_taxon,tribe,suffix,2,4,7,Chara vulgaris,Plantae|Viridiplantae|Streptophyta|Charophyta|Charophyta|Charophyceae|Charales|Characeae|Chara|Chara vulgaris
Chelicerata,higher_taxon,genus,path_depth,160,4,7,Trichonephila clavata,Eukaryota|Animalia|Arthropoda|Chelicerata|Arachnida|Araneae|Araneidae|Trichonephila|Trichonephila clavata
Clitellata,higher_taxon,genus,path_depth,6,4,5,Haemadipsa zeylanica,Biota|Animalia|Annelida|Clitellata|Hirudinea|Euhirudinea|Arhynchobdellida|Hirudiniformes|Haemadipsidae|Haemadipsa|Haemadipsa zeylanica
Cnidaria,higher_taxon,genus,path_depth,3,4,4,Astraea lobata,Eukaryota|Animalia|Cnidaria|Anthozoa|Hexacorallia|Scleractinia|Vacatina|Merulinidae|Goniastrea|Goniastrea stelligera
