taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution
1132101,Pouzolzia rugulosa,species,,Plantae,1,7,,https://inaturalist-open-data.s3.amazonaws.com/photos/96579730/medium.jpg,cc-by-nc,"(c) Shanta Budha-Magar, some rights reserved (CC BY-NC), uploaded by Shanta Budha-Magar"
447082,Primula denticulata,species,Drumstick Primrose,Plantae,1,1385,http://en.wikipedia.org/wiki/Primula_denticulata,https://inaturalist-open-data.s3.amazonaws.com/photos/47707001/medium.jpeg,cc-by-nc,"(c) Suresh Ghimire, some rights reserved (CC BY-NC), uploaded by Suresh Ghimire"
903249,Primula listeri,species,,Plantae,1,22,,https://inaturalist-open-data.s3.amazonaws.com/photos/37692919/medium.jpeg,cc-by-nc-sa,"(c) Phuentsho, some rights reserved (CC BY-NC-SA), uploaded by Phuentsho"
1044715,Primula nana,species,,Plantae,1,64,,https://inaturalist-open-data.s3.amazonaws.com/photos/15229725/medium.jpeg,cc-by-nc,"(c) SHYAM PHARTYAL, some rights reserved (CC BY-NC), uploaded by SHYAM PHARTYAL"
431494,Prunus cerasoides,species,Wild Himalayan Cherry,Plantae,1,447,http://en.wikipedia.org/wiki/Prunus_cerasoides,https://inaturalist-open-data.s3.amazonaws.com/photos/253584718/medium.jpg,cc-by-nc,"(c) ou.wildlife, some rights reserved (CC BY-NC), uploaded by ou.wildlife"
1081598,Prunus napaulensis,species,,Plantae,1,18,https://en.wikipedia.org/wiki/Prunus_napaulensis,https://inaturalist-open-data.s3.amazonaws.com/photos/95676927/medium.jpeg,cc-by-nc,"(c) Shanta Budha-Magar, some rights reserved (CC BY-NC), uploaded by Shanta Budha-Magar"
940399,Pseudocaryopteris bicolor,species,,Plantae,1,49,,https://inaturalist-open-data.s3.amazonaws.com/photos/111898065/medium.jpg,cc-by-nc,"(c) T. Abe Lloyd, some rights reserved (CC BY-NC), uploaded by T. Abe Lloyd"
62859,Psidium guajava,species,Common guava,Plantae,1,27222,http://en.wikipedia.org/wiki/Psidium_guajava,https://inaturalist-open-data.s3.amazonaws.com/photos/259834166/medium.jpeg,cc-by-sa,"(c) Daniel Dias, some rights reserved (CC BY-SA), uploaded by Daniel Dias"
1544690,Rhaphidophora glauca,species,,Plantae,1,44,,https://static.inaturalist.org/photos/365344520/medium.jpeg,,"(c) Ajay Neupane, all rights reserved, uploaded by Ajay Neupane"
56739,Ricinus communis,species,castor bean,Plantae,1,78565,http://en.wikipedia.org/wiki/Ricinus,https://static.inaturalist.org/photos/61079958/medium.jpeg,,"(c) Ruth Ripley, all rights reserved, uploaded by Ruth Ripley"
168047,Rubus ellipticus,species,Yellow Himalayan Raspberry,Plantae,1,1829,https://en.wikipedia.org/wiki/Rubus_ellipticus,https://inaturalist-open-data.s3.amazonaws.com/photos/109209586/medium.jpeg,cc-by-nc,"(c) David Espinel, some rights reserved (CC BY-NC), uploaded by David Espinel"
542547,Schisandra grandiflora,species,,Plantae,1,20,https://en.wikipedia.org/wiki/Schisandra_grandiflora,https://inaturalist-open-data.s3.amazonaws.com/photos/61309415/medium.jpeg,cc-by,"(c) Siddarth Machado, some rights reserved (CC BY), uploaded by Siddarth Machado"
474165,Smilax bracteata,species,Bearded Smilax,Plantae,1,4852,,https://inaturalist-open-data.s3.amazonaws.com/photos/30260759/medium.jpeg,cc-by-nc,"(c) 羅忠良, some rights reserved (CC BY-NC), uploaded by 羅忠良"
280909,Solanum betaceum,species,tamarillo,Plantae,1,4089,http://en.wikipedia.org/wiki/Tamarillo,https://inaturalist-open-data.s3.amazonaws.com/photos/108494260/medium.jpg,cc-by-nc,"(c) Juan Peña, some rights reserved (CC BY-NC), uploaded by Juan Peña"
133286,Solanum erianthum,species,potato tree,Plantae,1,4978,http://en.wikipedia.org/wiki/Solanum_erianthum,https://inaturalist-open-data.s3.amazonaws.com/photos/472246301/medium.jpeg,cc-by-nc,"(c) 嚴世芳, some rights reserved (CC BY-NC), uploaded by 嚴世芳"
335594,Spermacoce alata,species,,Plantae,1,119,http://en.wikipedia.org/wiki/Spermacoce_alata,https://inaturalist-open-data.s3.amazonaws.com/photos/237706434/medium.jpeg,cc-by-nc,"(c) Robin Heymans, some rights reserved (CC BY-NC), uploaded by Robin Heymans"
1632504,Spitosa fylla,species,Dark Judy,Insecta,1,820,https://en.wikipedia.org/wiki/Spitosa_fylla,https://inaturalist-open-data.s3.amazonaws.com/photos/2560302/medium.JPG,cc0,"no rights reserved, uploaded by Vijay Barve"
127011,Strobilomyces confusus,species,,Fungi,1,664,,https://static.inaturalist.org/photos/24056041/medium.jpeg,,"(c) Julien Chambert, all rights reserved, uploaded by Julien Chambert"
602692,Swertia chirayita,species,,Plantae,1,11,https://en.wikipedia.org/wiki/Swertia,https://inaturalist-open-data.s3.amazonaws.com/photos/196228889/medium.jpeg,cc-by-nc,"(c) Basu Dev Neupane, some rights reserved (CC BY-NC), uploaded by Basu Dev Neupane"
507598,Symbrenthia niphanda,species,bluetail jester,Insecta,1,202,http://en.wikipedia.org/wiki/Symbrenthia_niphanda,https://inaturalist-open-data.s3.amazonaws.com/photos/40332225/medium.jpg,cc-by-nc,"(c) Cheongweei Gan, some rights reserved (CC BY-NC), uploaded by Cheongweei Gan"
47553,Taxus baccata,species,common yew,Plantae,1,40669,https://en.wikipedia.org/wiki/Taxus_baccata,https://inaturalist-open-data.s3.amazonaws.com/photos/8502/medium.jpg,cc-by-nc-sa,"(c) Jonathan Tyler, some rights reserved (CC BY-NC-SA)"
904334,Trichonephila clavata,species,Joro Spider,Arachnida,1,25209,https://en.wikipedia.org/wiki/Trichonephila_clavata,https://inaturalist-open-data.s3.amazonaws.com/photos/240469491/medium.jpg,cc-by-nc,"(c) Trey Wardlaw, some rights reserved (CC BY-NC), uploaded by Trey Wardlaw"
346999,Trichosanthes tricuspidata,species,,Plantae,1,89,http://en.wikipedia.org/wiki/Trichosanthes_tricuspidata,https://inaturalist-open-data.s3.amazonaws.com/photos/1586883/medium.jpg,cc-by-nc-sa,"(c) Satish Nikam, some rights reserved (CC BY-NC-SA)"
556170,Uncaria scandens,species,,Plantae,1,6,,,,
781807,Vagrans sinha,species,Vagrant,Insecta,1,1019,,https://static.inaturalist.org/photos/48553097/medium.jpg,,"(c) Stijn De Win, all rights reserved, uploaded by Stijn De Win"
125573,Vanessa indica,species,Indian Red Admiral,Insecta,1,5469,http://en.wikipedia.org/wiki/Vanessa_indica,https://static.inaturalist.org/photos/429592185/medium.jpg,,"(c) hwattever, all rights reserved"
130720,Viola biflora,species,Twoflower Violet,Plantae,1,6085,https://en.wikipedia.org/wiki/Viola_biflora,https://inaturalist-open-data.s3.amazonaws.com/photos/74285832/medium.jpeg,cc0,"no rights reserved, uploaded by 葉子"
567716,Woodwardia unigemmata,species,jewelled chain fern,Plantae,1,1541,https://en.wikipedia.org/wiki/Woodwardia_unigemmata,https://inaturalist-open-data.s3.amazonaws.com/photos/9454061/medium.jpeg,cc-by,"(c) Rafael Medina, some rights reserved (CC BY), uploaded by Rafael Medina"
55267,Xylaria hypoxylon,species,Candlesnuff Fungus,Fungi,1,34061,http://en.wikipedia.org/wiki/Xylaria_hypoxylon,https://inaturalist-open-data.s3.amazonaws.com/photos/120304519/medium.jpg,cc-by-nc,"(c) Urszula Wojciechowska, some rights reserved (CC BY-NC), uploaded by Urszula Wojciechowska"
146908,Zemeros flegyas,species,Punchinello,Insecta,1,7694,http://en.wikipedia.org/wiki/Zemeros_flegyas,https://inaturalist-open-data.s3.amazonaws.com/photos/84147/medium.jpg,cc-by-nc-nd,"(c) hkmoths, some rights reserved (CC BY-NC-ND)"
