scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Polydnaviriformidae,higher_taxon,family,suffix,2,2,2,Bracoviriform congregatae,|Polydnaviriformidae|Bracoviriform|Bracoviriform congregatae,BestMatch,9.41215,Exact,0,Polydnaviriformidae,Polydnaviriformidae,Polydnaviriformidae,BX6PC,Polydnaviriformidae,false,1,Catalogue of Life,|Polydnaviriformidae,
Protozoa,higher_taxon,kingdom,name,12,2,3,Ceratiomyxa fruticulosa,Eukaryota|Protozoa|Mycetozoa|Protosteliomycetes|Ceratiomyxales|Ceratiomyxaceae|Ceratiomyxa|Ceratiomyxa fruticulosa,BestMatch,9.41215,Exact,0,Protozoa,Protozoa,Protozoa,Z,Protozoa,false,1,Catalogue of Life,Eukaryota|Protozoa,
Scenedesmaceae,higher_taxon,family,suffix,6,2,9,Tetradesmus obliquus,Plantae|Chlorophyta|Chlorophyceae|Sphaeropleales|Scenedesmaceae|Tetradesmus|Tetradesmus obliquus,BestMatch,9.41215,Exact,0,Scenedesmaceae,"Scenedesmaceae Oltmanns, 1904",Scenedesmaceae,G25,"Scenedesmaceae Oltmanns, 1904",false,1,Catalogue of Life,Eukaryota|Plantae|Chlorophyta|Chlorophytina|Chlorophyceae|Sphaeropleales|Scenedesmaceae,
Annelida,higher_taxon,genus,path_depth,6,3,4,Haemadipsa zeylanica,Biota|Animalia|Annelida|Clitellata|Hirudinea|Euhirudinea|Arhynchobdellida|Hirudiniformes|Haemadipsidae|Haemadipsa|Haemadipsa zeylanica,BestMatch,9.41215,Exact,0,Annelida,Annelida,Annelida,NN,Annelida,false,1,Catalogue of Life,Eukaryota|Animalia|Annelida,
Ascomycota,higher_taxon,phylum,suffix,162,3,4,Aleuria aurantia,Eukaryota|Fungi|Ascomycota|Pezizomycetes|Pezizales|Pyronemataceae|Aleuria|Aleuria aurantia,BestMatch,9.41215,Exact,0,Ascomycota,Ascomycota,Ascomycota,SM,Ascomycota,false,1,Catalogue of Life,Eukaryota|Fungi|Ascomycota,
Bacillati,higher_taxon,higher_taxon,fallback,8,3,3,Microcystis aeruginosa,Bacteria|Bacillati|Cyanobacteriota|Cyanophyceae|Chroococcales|Microcystaceae|Microcystis|Microcystis aeruginosa,BestMatch,9.41215,Exact,0,Bacillati,"Bacillati (Gibbons & Murray, 1978) Oren & Göker 2024",Bacillati,CTJFC,"Bacillati (Gibbons & Murray, 1978) Oren & Göker 2024",false,1,Catalogue of Life,Bacteria|Bacillati,
Basidiomycota,higher_taxon,phylum,suffix,354,3,4,Trametes versicolor,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Polyporales|Polyporaceae|Trametes|Trametes versicolor,BestMatch,9.41215,Exact,0,Basidiomycota,Basidiomycota,Basidiomycota,BM,Basidiomycota,false,1,Catalogue of Life,Eukaryota|Fungi|Basidiomycota,
Bilateria,higher_taxon,higher_taxon,fallback,122,3,3,Coccinella septempunctata,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea|Coccinellidae|Coccinellinae|Coccinellini|Coccinella|Coccinella septempunctata,BestMatch,9.41145,Exact,0,Bilateria,Bilateria,Bilateria,914154,Bilateria,false,3,ITIS,Animalia|Bilateria,
Biliphyta,higher_taxon,phylum,suffix,1,3,3,Batrachospermum gelatinosum,Plantae|Biliphyta|Rhodophyta|Eurhodophytina|Florideophyceae|Nemaliophycidae|Batrachospermales|Batrachospermaceae|Batrachospermum|Batrachospermum gelatinosum,BestMatch,9.41145,Exact,0,Biliphyta,Biliphyta,Biliphyta,846491,Biliphyta,false,3,ITIS,Plantae|Biliphyta,
Bracoviriform,higher_taxon,higher_taxon,fallback,2,3,3,Bracoviriform congregatae,|Polydnaviriformidae|Bracoviriform|Bracoviriform congregatae,BestMatch,9.41215,Exact,0,Bracoviriform,Bracoviriform,Bracoviriform,BX74B,Bracoviriform,false,1,Catalogue of Life,|Polydnaviriformidae|Bracoviriform,
Bryophyta,higher_taxon,phylum,suffix,54,3,5,Sphagnum cuspidatulum,Eukaryota|Plantae|Bryobiotina|Bryophyta|Sphagnopsida|Sphagnales|Sphagnaceae|Sphagnum|Sphagnum cuspidatulum,BestMatch,9.41215,Exact,0,Bryophyta,Bryophyta Schimp.,Bryophyta,BJ5TM,Bryophyta Schimp.,false,1,Catalogue of Life,Eukaryota|Plantae|Bryobiotina|Bryophyta,
Charophyta,higher_taxon,phylum,suffix,39,3,6,Closterium acerosum,Plantae|Viridiplantae|Streptophyta|Charophyta|Charophyta|Conjugatophyceae|Desmidiales|Closteriaceae|Closterium|Closterium acerosum,BestMatch,9.41215,Exact,0,Charophyta,"Charophyta Migula, 1897",Charophyta,KZS5S,"Charophyta Migula, 1897",false,1,Catalogue of Life,Eukaryota|Plantae|Charophyta,
Chlorophyceae,higher_taxon,tribe,suffix,19,3,7,Pediastrum duplex,Plantae|Viridiplantae|Chlorophyta|Chlorophyta|Chlorophytina|Chlorophyceae|Sphaeropleales|Hydrodictyaceae|Pediastrum|Pediastrum duplex,BestMatch,9.41215,Exact,0,Chlorophyceae,Chlorophyceae,Chlorophyceae,98,Chlorophyceae,false,1,Catalogue of Life,Eukaryota|Plantae|Chlorophyta|Chlorophytina|Chlorophyceae,
Chordata,higher_taxon,genus,path_depth,1011,3,4,Macaca mulatta,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Macaca|Macaca mulatta,BestMatch,9.41215,Exact,0,Chordata,Chordata,Chordata,CH2,Chordata,false,1,Catalogue of Life,Eukaryota|Animalia|Chordata,
