taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution
145099,Gracupica contra,species,Indian Pied Starling,Aves,124,3801,https://en.wikipedia.org/wiki/Indian_pied_myna,https://inaturalist-open-data.s3.amazonaws.com/photos/40949198/medium.jpg,cc-by,"(c) Vijay Vanaparthy, some rights reserved (CC BY), uploaded by Vijay Vanaparthy"
78451,Persicaria capitata,species,pink knotweed,Plantae,124,18205,http://en.wikipedia.org/wiki/Persicaria_capitata,https://inaturalist-open-data.s3.amazonaws.com/photos/178183105/medium.jpg,cc-by-nc-sa,"(c) Mauricio Mercadante, some rights reserved (CC BY-NC-SA)"
1486692,Telchinia issoria,species,Yellow Coster,Insecta,124,5022,,https://inaturalist-open-data.s3.amazonaws.com/photos/4066502/medium.jpg,cc-by-nc-sa,"(c) ashung, some rights reserved (CC BY-NC-SA)"
348016,Xenocatantops humilis,species,Rufous-legged Grasshopper,Insecta,124,9273,http://en.wikipedia.org/wiki/Xenocatantops_humilis,https://inaturalist-open-data.s3.amazonaws.com/photos/23168550/medium.jpg,cc-by-nc,"(c) djhiker, some rights reserved (CC BY-NC), uploaded by djhiker"
75363,Allium sativum,species,Garlic,Plantae,123,3335,http://en.wikipedia.org/wiki/Garlic,https://inaturalist-open-data.s3.amazonaws.com/photos/543709104/medium.jpg,cc-by-nc,"(c) willem9, some rights reserved (CC BY-NC), uploaded by willem9"
884403,Berberis napaulensis,species,Nepal Mahonia,Plantae,122,357,https://en.wikipedia.org/wiki/Mahonia_napaulensis,https://static.inaturalist.org/photos/29909910/medium.jpeg,,"(c) Alex Perry, all rights reserved, uploaded by Alex Perry"
7277,Aegithalos concinnus,species,Black-throated Tit,Aves,120,3736,http://en.wikipedia.org/wiki/Black-throated_bushtit,https://static.inaturalist.org/photos/246382401/medium.jpeg,,"(c) Lucas Shiu, all rights reserved, uploaded by Lucas Shiu"
125258,Creatonotos transiens,species,Clouded Tiger Moth,Insecta,119,6529,http://en.wikipedia.org/wiki/Creatonotos_transiens,https://static.inaturalist.org/photos/36478306/medium.jpg,,"(c) Roger C. Kendrick, all rights reserved, uploaded by Roger C. Kendrick"
79312,Tagetes erecta,species,Mexican Marigold,Plantae,119,22856,http://en.wikipedia.org/wiki/Tagetes_erecta,https://inaturalist-open-data.s3.amazonaws.com/photos/447050846/medium.jpeg,cc-by-nc,"(c) fer_04, some rights reserved (CC BY-NC), uploaded by fer_04"
5062,Anhinga melanogaster,species,Oriental Darter,Aves,118,7080,http://en.wikipedia.org/wiki/Oriental_darter,https://static.inaturalist.org/photos/233463646/medium.jpg,,"(c) Kumaresan Chandrabose, all rights reserved, uploaded by Kumaresan Chandrabose"
2208,Merops leschenaulti,species,Chestnut-headed Bee-eater,Aves,118,3574,http://en.wikipedia.org/wiki/Chestnut-headed_bee-eater,https://inaturalist-open-data.s3.amazonaws.com/photos/116972511/medium.jpg,cc-by-nc,"(c) Udaya Kumar, some rights reserved (CC BY-NC), uploaded by Udaya Kumar"
13709,Anthus rufulus,species,Paddyfield Pipit,Aves,117,7989,http://en.wikipedia.org/wiki/Paddyfield_pipit,https://static.inaturalist.org/photos/175991823/medium.jpeg,,"(c) Ramu Alluri, all rights reserved, uploaded by Ramu Alluri"
117293,Oecophylla smaragdina,species,Asian Weaver Ant,Insecta,116,31669,http://en.wikipedia.org/wiki/Oecophylla_smaragdina,https://inaturalist-open-data.s3.amazonaws.com/photos/115048419/medium.jpg,cc-by-nc,"(c) Thomas Job, some rights reserved (CC BY-NC), uploaded by Thomas Job"
447809,Rosa sericea,species,Silky Rose,Plantae,116,673,http://en.wikipedia.org/wiki/Rosa_sericea,https://inaturalist-open-data.s3.amazonaws.com/photos/82147265/medium.jpg,cc-by-nc,"(c) BunnyTailGra22 | 兔尾草, some rights reserved (CC BY-NC), uploaded by BunnyTailGra22 | 兔尾草"
120156,Musca domestica,species,Common House Fly,Insecta,115,37792,http://en.wikipedia.org/wiki/Housefly,https://static.inaturalist.org/photos/163079204/medium.jpg,,"(c) gernotkunz, all rights reserved, uploaded by gernotkunz"
42313,Pseudois nayaur,species,Bharal,Mammalia,115,956,http://en.wikipedia.org/wiki/Bharal,https://inaturalist-open-data.s3.amazonaws.com/photos/67395769/medium.jpg,cc-by-sa,"(c) Fabrice Stoger, some rights reserved (CC BY-SA)"
8416,Urocissa flavirostris,species,Yellow-billed Blue-Magpie,Aves,115,818,http://en.wikipedia.org/wiki/Yellow-billed_blue_magpie,https://inaturalist-open-data.s3.amazonaws.com/photos/151771/medium.jpg,cc-by-nc-nd,"(c) Sandeep Somasekharan, some rights reserved (CC BY-NC-ND)"
4738,Ciconia episcopus,species,Asian Woolly-necked Stork,Aves,114,2871,http://en.wikipedia.org/wiki/Woolly-necked_stork,https://static.inaturalist.org/photos/298126249/medium.jpeg,,"(c) Håvard Rosenlund, all rights reserved, uploaded by Håvard Rosenlund"
107971,Orthetrum pruinosum,species,Crimson-tailed Marsh Hawk,Insecta,114,12524,http://en.wikipedia.org/wiki/Orthetrum_pruinosum,https://inaturalist-open-data.s3.amazonaws.com/photos/40459419/medium.jpg,cc-by-nc,"(c) leifgabrielsen, some rights reserved (CC BY-NC)"
68499,Psittacula cyanocephala,species,Plum-headed Parakeet,Aves,114,2640,http://en.wikipedia.org/wiki/Plum-headed_parakeet,https://inaturalist-open-data.s3.amazonaws.com/photos/349177488/medium.jpg,cc-by,"(c) Hari K  Patibanda, some rights reserved (CC BY)"
410881,Pieris formosa,species,Mountain Pieris,Plantae,113,319,https://en.wikipedia.org/wiki/Pieris_formosa,https://inaturalist-open-data.s3.amazonaws.com/photos/487481950/medium.jpeg,cc-by-nc,"(c) J Floer, some rights reserved (CC BY-NC), uploaded by J Floer"
245783,Symbrenthia lilaea,species,Common Jester,Insecta,113,7517,http://en.wikipedia.org/wiki/Symbrenthia_lilaea,https://static.inaturalist.org/photos/147721772/medium.jpeg,,"(c) PAWAN SINGH KORANGA, all rights reserved, uploaded by PAWAN SINGH KORANGA"
404898,Piptanthus nepalensis,species,Nepal laburnum,Plantae,112,292,https://en.wikipedia.org/wiki/Piptanthus_nepalensis,https://static.inaturalist.org/photos/32627380/medium.jpeg,,"(c) boneu, all rights reserved, uploaded by boneu"
130776,Junonia atlites,species,Grey Pansy,Insecta,111,11753,http://en.wikipedia.org/wiki/Junonia_atlites,https://inaturalist-open-data.s3.amazonaws.com/photos/584972327/medium.jpg,cc-by,"(c) Dr. Alexey Yakovlev, some rights reserved (CC BY), uploaded by Dr. Alexey Yakovlev"
2599,Alcedo atthis,species,Common Kingfisher,Aves,110,59966,http://en.wikipedia.org/wiki/Common_kingfisher,https://inaturalist-open-data.s3.amazonaws.com/photos/61266631/medium.jpg,cc-by-nc-sa,"(c) Mark Kilner, some rights reserved (CC BY-NC-SA)"
158201,Alnus nepalensis,species,Nepal Alder,Plantae,110,453,http://en.wikipedia.org/wiki/Alnus_nepalensis,https://static.inaturalist.org/photos/11613618/medium.jpeg,,"(c) James Ojascastro, all rights reserved, uploaded by James Ojascastro"
13417,Aethopyga nipalensis,species,Green-tailed Sunbird,Aves,109,1082,http://en.wikipedia.org/wiki/Green-tailed_sunbird,https://inaturalist-open-data.s3.amazonaws.com/photos/30030747/medium.jpg,cc-by-nc,"(c) Mikael Bauer, some rights reserved (CC BY-NC), uploaded by Mikael Bauer"
324529,Argiope pulchella,species,Garden cross spider,Arachnida,109,1938,http://en.wikipedia.org/wiki/Argiope_pulchella,https://static.inaturalist.org/photos/347251662/medium.jpeg,,"(c) abhilash srinivas, all rights reserved, uploaded by abhilash srinivas"
464248,Fragaria nubicola,species,Himalayan strawberry,Plantae,109,565,http://en.wikipedia.org/wiki/Fragaria_nubicola,https://inaturalist-open-data.s3.amazonaws.com/photos/101764871/medium.jpeg,cc-by-nc,"(c) Peter Zika, some rights reserved (CC BY-NC), uploaded by Peter Zika"
48548,Vanessa cardui,species,Painted Lady,Insecta,109,180206,http://en.wikipedia.org/wiki/Vanessa_cardui,https://inaturalist-open-data.s3.amazonaws.com/photos/9506438/medium.jpg,cc-by-nc,"(c) roy pilcher, some rights reserved (CC BY-NC), uploaded by roy pilcher"
1289423,Argya striata,species,Jungle Babbler,Aves,108,7075,https://en.wikipedia.org/wiki/Jungle_babbler,https://inaturalist-open-data.s3.amazonaws.com/photos/55685037/medium.png,cc-by-nc,"(c) Karthik, some rights reserved (CC BY-NC), uploaded by Karthik"
323769,Argynnis hyperbius,species,Tropical Fritillary,Insecta,106,10766,https://en.wikipedia.org/wiki/Argynnis_hyperbius,https://inaturalist-open-data.s3.amazonaws.com/photos/591194300/medium.jpg,cc-by-nc,"(c) gg_copen, some rights reserved (CC BY-NC)"
