Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.41215,Exact,0,Breynia vitis-idaea,Breynia vitis-idaea (Burm.fil.) C.E.C.Fisch.,Breynia vitis-idaea,6932V,Breynia vitis-idaea (Burm.fil.) C.E.C.Fisch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Phyllanthaceae|Phyllanthoideae|Phyllantheae|Breynia|Breynia vitis-idaea,
BestMatch,9.41215,Exact,0,Bridelia retusa,Bridelia retusa (L.) A.Juss.,Bridelia retusa,6934W,Bridelia retusa (L.) A.Juss.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Phyllanthaceae|Phyllanthoideae|Bridelieae|Pseudolachnostylidinae|Bridelia|Bridelia retusa,
BestMatch,9.41145,Exact,0,Brochymena quadripustulata,"Brochymena quadripustulata (Fabricius, 1775)",Brochymena quadripustulata,108742,"Brochymena quadripustulata (Fabricius, 1775)",false,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Acercaria|Hemiptera|Heteroptera|Pentatomomorpha|Pentatomoidea|Pentatomidae|Pentatominae|Halyini|Brochymena|Brochymena quadripustulata,
BestMatch,9.41145,Exact,0,Bromius obscurus,"Bromius obscurus (Linnaeus, 1758)",Bromius obscurus,721020,"Bromius obscurus (Linnaeus, 1758)",false,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Chrysomelidae|Eumolpinae|Adoxini|Bromius|Bromius obscurus,
BestMatch,9.41215,Exact,0,Broussonetia papyrifera,Broussonetia papyrifera (L.) L'Hér. ex Vent.,Broussonetia papyrifera,68QX8,Broussonetia papyrifera (L.) L'Hér. ex Vent.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Moraceae|Dorstenieae|Broussonetia|Broussonetia papyrifera,
BestMatch,9.41145,Exact,0,Bruchus pisorum,"Bruchus pisorum (Linnaeus, 1758)",Bruchus pisorum,114508,"Bruchus pisorum (Linnaeus, 1758)",false,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Coleoptera|Polyphaga|Cucujiformia|Chrysomeloidea|Chrysomelidae|Bruchinae|Bruchus|Bruchus pisorum,
BestMatch,9.41215,Exact,0,Brugmansia sanguinea,Brugmansia sanguinea (Ruiz & Pav.) D.Don,Brugmansia sanguinea,NFDD,Brugmansia sanguinea (Ruiz & Pav.) D.Don,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Solanoideae|Datureae|Brugmansia|Brugmansia sanguinea,
BestMatch,9.41215,Exact,0,Bryodemella tuberculata,"Bryodemella (Bryodemella) tuberculata (Fabricius, 1775)",Bryodemella tuberculata,NJ39,"Bryodemella (Bryodemella) tuberculata (Fabricius, 1775)",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Orthoptera|Caelifera|Acrididea|Acridoidea|Acrididae|Oedipodinae|Bryodemini|Bryodemella|Bryodemella|Bryodemella tuberculata,
BestMatch,9.41215,Exact,0,Bryoria furcellata,Bryoria furcellata (Fr.) Brodo & D. Hawksw.,Bryoria furcellata,NJTY,Bryoria furcellata (Fr.) Brodo & D. Hawksw.,false,1,Catalogue of Life,Eukaryota|Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Bryoria|Bryoria furcellata,
BestMatch,9.41145,Exact,0,Bryotypella leucosticta,Bryotypella leucosticta,Bryotypella leucosticta,1277698,Bryotypella leucosticta,false,180,iNaturalist,Animalia|Arthropoda|Hexapoda|Insecta|Pterygota|Lepidoptera|Noctuoidea|Noctuidae|Bryotypella|Bryotypella leucosticta,
