Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.41215,Exact,0,Aerveae,"Aerveae Borsch, Kai Müll. & Flores Olv.",Aerveae,VBQ22,"Aerveae Borsch, Kai Müll. & Flores Olv.",false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Amaranthoideae|Aerveae,
BestMatch,9.41215,Exact,0,Aeshnidae,"Aeshnidae Rambur, 1842",Aeshnidae,9WKQT,"Aeshnidae Rambur, 1842",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Odonata|Anisoptera|Aeshnoidea|Aeshnidae,
BestMatch,9.41215,Exact,0,Aganainae,Aganainae,Aganainae,93MRF,Aganainae,false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Noctuoidea|Erebidae|Aganainae,
BestMatch,9.41215,Exact,0,Agaristinae,Agaristinae,Agaristinae,93MRG,Agaristinae,false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Noctuoidea|Noctuidae|Agaristinae,
BestMatch,9.41215,Exact,0,Agave demeesteriana,Agave demeesteriana Jacobi,Agave demeesteriana,5TQJV,Agave demeesteriana Jacobi,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Agave|Agave demeesteriana,
BestMatch,9.41215,Exact,0,Agrimonieae,Agrimonieae Lam. & DC.,Agrimonieae,KTWNX,Agrimonieae Lam. & DC.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Agrimonieae,
BestMatch,9.41215,Exact,0,Ailanthus,Ailanthus Desf.,Ailanthus,R65,Ailanthus Desf.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Simaroubaceae|Ailantheae|Ailanthus,
BestMatch,9.41215,Exact,0,Ainsliaea,Ainsliaea DC.,Ainsliaea,R6W,Ainsliaea DC.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Pertyoideae|Ainsliaea,
BestMatch,9.41215,Exact,0,Ajugeae,Ajugeae Benth.,Ajugeae,V5RHP,Ajugeae Benth.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Ajugoideae|Ajugeae,
BestMatch,9.41215,Exact,0,Alangium,Alangium Lam.,Alangium,8VTHW,Alangium Lam.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cornales|Cornaceae|Alangioideae|Alangium,
BestMatch,9.41215,Exact,0,Aletris glabra,Aletris glabra Bureau & Franch.,Aletris glabra,BPHP,Aletris glabra Bureau & Franch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Dioscoreales|Nartheciaceae|Aletris|Aletris glabra,
BestMatch,9.41215,Exact,0,Aleuritopteris,Aleuritopteris Fée,Aleuritopteris,RRV,Aleuritopteris Fée,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Polypodiales|Pteridaceae|Cheilanthoideae|Aleuritopteris,
BestMatch,9.41215,Exact,0,Aleyrodoidea,Aleyrodoidea,Aleyrodoidea,4SH,Aleyrodoidea,false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Hemiptera|Sternorrhyncha|Aleyrodomorpha|Aleyrodoidea,
BestMatch,9.41215,Exact,0,Alnus,Alnus Mill.,Alnus,8VTM3,Alnus Mill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fagales|Betulaceae|Betuloideae|Alnus,
BestMatch,9.41215,Exact,0,Alompra,"Alompra Moore, 1872",Alompra,8ZZGS,"Alompra Moore, 1872",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Lasiocampoidea|Lasiocampidae|Alompra,
BestMatch,9.41215,Exact,0,Aloysia,Aloysia Palau,Aloysia,8VTMG,Aloysia Palau,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Verbenaceae|Lantaneae|Aloysia,
BestMatch,9.41215,Exact,0,Alstonieae,Alstonieae G.Don,Alstonieae,KTYBQ,Alstonieae G.Don,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Rauvolfioideae|Alstonieae,
BestMatch,9.41215,Exact,0,Altha,"Altha Walker, 1862",Altha,8ZZHD,"Altha Walker, 1862",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Zygaenoidea|Limacodidae|Altha,
BestMatch,9.41215,Exact,0,Amarantheae,Amarantheae Rchb.,Amarantheae,KTWRJ,Amarantheae Rchb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Amaranthoideae|Amarantheae,
BestMatch,9.41215,Exact,0,Amauropelta,Amauropelta Kunze,Amauropelta,TBJ,Amauropelta Kunze,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Polypodiales|Thelypteridaceae|Thelypteridoideae|Amauropelta,
BestMatch,9.41215,Exact,0,Amblopala,"Amblopala Leech, 1893",Amblopala,9CJQ5,"Amblopala Leech, 1893",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Papilionoidea|Lycaenidae|Amblopala,
BestMatch,9.41215,Exact,0,Amblypsilopus,"Amblypsilopus Bigot, 1888",Amblypsilopus,BXYC2,"Amblypsilopus Bigot, 1888",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Diptera|Dolichopodidae|Sciapodinae|Amblypsilopus,
